player_champion,player_lane,kills_media,deaths_media,assists_media,duracao_media,taxa_vitoria,cluster,zscore
Aatrox,BOTTOM,19.0,16.0,10.0,2438.0,0.0,1,4.290715537006945
Briar,BOTTOM,13.5,9.5,11.0,2103.5,0.0,1,2.5265652839060455
Darius,BOTTOM,4.666666666666667,8.666666666666666,3.0,898.6666666666666,0.0,1,2.1954479852800657
Elise,TOP,7.0,6.0,14.0,171.0,0.0,3,5.509145442643926
FiddleSticks,MIDDLE,5.0,13.0,7.0,1996.0,0.0,1,2.1324721292178124
Galio,JUNGLE,4.0,6.0,13.5,970.0,0.0,1,2.164834647396697
Naafiri,BOTTOM,5.5,8.5,4.0,708.5,0.0,1,2.202753532947362
Nunu,BOTTOM,6.5,14.5,16.0,2100.0,0.0,1,3.0335008321071038
Nunu,TOP,0.0,9.0,1.0,1275.0,0.0,1,2.4852480135071877
Rammus,BOTTOM,3.0,15.0,23.0,2035.0,1.0,0,2.2691279779213254
Taric,TOP,2.0,8.0,2.0,1217.0,0.0,1,2.1144968821059664
Tryndamere,BOTTOM,0.0,2.0,3.0,1233.0,0.0,3,2.4373351905367193
Vi,TOP,5.0,9.5,5.0,821.5,0.0,1,2.1920130604141854
XinZhao,BOTTOM,4.0,10.0,7.0,206.0,0.0,1,2.8439083525484667
Yuumi,JUNGLE,6.0,4.0,9.0,153.0,0.0,3,4.059567237603526
