Campeão,Taxa_Vitoria_Media
0,0.2962665551044525
1,0.27786160551810823
2,0.23883071617005838
3,0.11686390532544376
4,0.25482783160297956
5,0.14089945728741715
6,0.18893585047431197
7,0.21905520514987967
8,0.18883434120120507
9,0.16663848971541279
10,0.27697484744954537
11,0.18206067436836668
12,0.1863795545114226
13,0.194075795998873
14,0.17063961679346293
15,0.19506775276006044
16,0.17437541091387246
17,0.1998456671533595
18,0.219473475242706
19,0.13757396449704143
20,0.2556934014524974
21,0.20356502828846537
22,0.16889264581572272
23,0.14072060914636944
24,0.23757396449704138
25,0.17196557169723536
26,0.22480604277552269
27,0.1638778899912503
28,0.2626359942758536
29,0.25304609919994536
30,0.18537381421996807
31,0.14536489151873763
32,0.30124959583317457
33,0.1698224852071006
34,0.14869329388560157
35,0.2153141730064807
36,0.16002395040856582
37,0.15405235789851174
38,0.17777740841699355
39,0.17112783239373186
40,0.262490868473291
41,0.2257828956053808
42,0.17272940734479195
43,0.17426035502958578
44,0.04043392504930967
45,0.2569790170381886
46,0.09451317912856375
47,0.18630133382218647
48,0.21338661338661338
49,0.21894112674655658
50,0.19877430262045645
51,0.2399964269786755
52,0.2345420294300528
53,0.3393983683119317
54,0.31526252000600563
55,0.13054267285036517
56,0.3827949882911398
57,0.18421386306001686
58,0.32153644303653284
59,0.2022725138109753
60,0.1916596224288532
61,0.17950980643288333
62,0.1110286182129433
63,0.22936507936507927
64,0.08185404339250492
65,0.2263119359273206
66,0.17363918133148898
67,0.11045364891518739
68,0.23932093547478164
69,0.2758646350362327
70,0.29592032122780204
71,0.233672908859428
72,0.1698669180917702
73,0.19229615609214273
74,0.28122446296336645
75,0.3254908291455484
76,0.3162621745957339
77,0.21172609441840212
78,0.20562599793369027
79,0.18527790421281545
80,0.22292899408284023
81,0.269655928053074
82,0.28306536320126113
83,0.21230051999282776
84,0.16848200818789053
85,0.17632324940017247
86,0.09911242603550297
87,0.3001256457642889
88,0.1720578566732413
89,0.29920831493389183
90,0.1705621301775148
91,0.15382722690415002
92,0.1650887573964497
93,0.20689438766361842
94,0.14861932938856012
95,0.1569119286510591
96,0.18312286004593697
97,0.1767094017094017
98,0.21095515320081076
99,0.2337487413026232
100,0.22255436870821493
101,0.12495069033530572
102,0.14929557621865314
103,0.27424212695156325
104,0.15828402366863906
105,0.20011270780501553
106,0.20301109147262997
107,0.1493096646942801
108,0.2223549954319185
109,0.1986592467361698
110,0.22140536688048001
111,0.19362232318963088
112,0.18435709589555746
113,0.22849592589411588
114,0.17290081713158634
115,0.31202607096272256
116,0.26780519776081907
117,0.12399451161992968
118,0.19337697148348035
119,0.19932483689880137
120,0.14516765285996058
121,0.15077486615948155
122,0.16198396662749381
123,0.24350792205821795
124,0.19260059232586704
125,0.22602639574688774
126,0.18727810650887572
127,0.2564086308169149
128,0.25345823106004095
129,0.19723873828514127
130,0.19651737972743893
131,0.23158017196478736
132,0.2104737704940134
133,0.22311449234526154
134,0.1660749506903353
135,0.1103777878925808
136,0.26631874059403327
137,0.23184230299614916
138,0.1932709194563778
139,0.1325269752871563
140,0.16837398301895343
141,0.21795896411281018
142,0.18166366835005893
143,0.10601577909270216
144,0.2504639433737936
145,0.22375342441910484
146,0.22189004289596007
147,0.2047102470179393
148,0.1686249647788109
149,0.22872640180332493
150,0.2513532016577613
151,0.23580742071866329
152,0.29283689522901535
153,0.20399927333125714
154,0.13737672583826432
155,0.24257458228046463
156,0.2052069725146648
157,0.24614680191603266
158,0.259887597126546
159,0.23610684729761516
160,0.19935357056010372
161,0.17517140978679444
162,0.2510727464168759
163,0.22071294911531597
164,0.2159418936359874
165,0.1902612509121385
166,0.15849065464450077
167,0.22750214939564056
168,0.2397640965601286
